Tree,Order,Start X,Start Y,Start Z,End X,End Y,End Z,Point Type,Length(µm),Length To Beginning (µm),Start Diameter(µm),End Diameter(µm),Avg Diameter(µm),Surface Area(µm²),Volume(µm³),Spines,none Spine,thin Spine,stubby Spine,mushroom Spine,filopodia Spine,branched Spine,detached Spine,other Spine
1,1,370.17,-522.23,0,371.17,-522.56,0,CP,1.1,1.1,5.4,3.3,4.3,20.2924,16.0339,0,0,0,0,0,0,0,0,0
1,1,371.17,-522.56,0,367.64,-519.02,0,CP,5,6.1,3.3,3.3,3.3,51.8482,42.77,0,0,0,0,0,0,0,0,0
1,1,367.64,-519.02,0,364.34,-514.54,0,CP,5.6,11.6,3.3,3.3,3.3,57.6846,47.5844,0,0,0,0,0,0,0,0,0
1,1,364.34,-514.54,0,360.09,-510.77,0,CP,5.7,17.3,3.3,3.3,3.3,58.863,48.5566,0,0,0,0,0,0,0,0,0
1,1,360.09,-510.77,0,357.5,-509.36,0,BP,3,20.3,3.3,3.3,3.3,30.6254,25.2632,0,0,0,0,0,0,0,0,0
1,2,357.5,-509.36,0,357.03,-502.75,0,CP,6.6,26.9,3.3,3.5,3.4,71.0736,60.7384,0,0,0,0,0,0,0,0,0
1,2,357.03,-502.75,0,355.85,-494.5,0,CP,8.3,35.2,3.5,3.5,3.5,92.5891,81.8353,0,0,0,0,0,0,0,0,0
1,2,355.85,-494.5,0,353.96,-490.02,0,BP,4.9,40.1,3.5,3.5,3.5,53.9881,47.7176,0,0,0,0,0,0,0,0,0
1,3,353.96,-490.02,0,350.9,-483.89,0,CP,6.9,46.9,3.5,2.6,3.1,66.1281,50.9312,0,0,0,0,0,0,0,0,0
1,3,350.9,-483.89,0,348.78,-478.47,0,CP,5.8,52.8,2.6,2.6,2.6,47.4254,30.7349,0,0,0,0,0,0,0,0,0
1,3,348.78,-478.47,0,345.95,-474.46,0,CP,4.9,57.7,2.6,2.6,2.6,39.9569,25.8948,0,0,0,0,0,0,0,0,0
1,3,345.95,-474.46,0,344.3,-471.63,0,CP,3.3,60.9,2.6,2.6,2.6,26.6762,17.288,0,0,0,0,0,0,0,0,0
1,3,344.3,-471.63,0,344.06,-468.8,0,CP,2.8,63.8,2.6,2.6,2.6,23.1222,14.9848,0,0,0,0,0,0,0,0,0
1,3,344.06,-468.8,0,343.59,-461.73,0,CP,7.1,70.9,2.6,2.6,2.6,57.734,37.4157,0,0,0,0,0,0,0,0,0
1,3,343.59,-461.73,0,344.06,-457.01,0,CP,4.7,75.6,2.6,2.6,2.6,38.5954,25.0125,0,0,0,0,0,0,0,0,0
1,3,344.06,-457.01,0,344.77,-452.53,0,CP,4.5,80.1,2.6,2.6,2.6,36.9357,23.9369,0,0,0,0,0,0,0,0,0
1,3,344.77,-452.53,0,347.12,-448.05,0,CP,5.1,85.2,2.6,2.6,2.6,41.2286,26.719,0,0,0,0,0,0,0,0,0
1,3,347.12,-448.05,0,349.48,-445.46,0,CP,3.5,88.7,2.6,3.1,2.8,31.2127,22.0691,0,0,0,0,0,0,0,0,0
1,3,349.48,-445.46,0,351.6,-441.21,0,CP,4.7,93.5,3.1,3.1,3.1,45.673,34.9838,0,0,0,0,0,0,0,0,0
1,3,351.6,-441.21,0,353.02,-436.97,0,CP,4.5,97.9,3.1,3.1,3.1,43.0607,32.9829,0,0,0,0,0,0,0,0,0
1,3,353.02,-436.97,0,355.14,-431.55,0,CP,5.8,103.8,3.1,3.1,3.1,56.0527,42.9343,0,0,0,0,0,0,0,0,0
