Tree,Order,Start X,Start Y,Start Z,End X,End Y,End Z,Point Type,Length(µm),Length To Beginning (µm),Start Diameter(µm),End Diameter(µm),Avg Diameter(µm),Surface Area(µm²),Volume(µm³),Spines,none Spine,thin Spine,stubby Spine,mushroom Spine,filopodia Spine,branched Spine,detached Spine,other Spine
1,1,468.72,-66.43,0,468.72,-63.49,0,CP,2.9,2.9,1.6,1.6,1.6,15.0846,6.16626,0,0,0,0,0,0,0,0,0
1,1,468.72,-63.49,0,468.72,-59.25,0,CP,4.2,7.2,1.6,1.6,1.6,21.7887,8.90678,0,0,0,0,0,0,0,0,0
1,1,468.72,-59.25,0,469.05,-55.99,0,CP,3.3,10.5,1.6,1.6,1.6,16.8442,6.88557,0,0,0,0,0,0,0,0,0
1,1,469.05,-55.99,0,469.7,-51.42,0,CP,4.6,15.1,1.6,1.6,1.6,23.7031,9.68933,0,0,0,0,0,0,0,0,0
1,1,469.7,-51.42,0,470.35,-48.16,0,BP,3.3,18.4,1.6,1.6,1.6,17.0925,6.98708,0,0,0,0,0,0,0,0,0
1,2,470.35,-48.16,0,469.05,-47.5,0,CP,1.5,19.9,1.6,1.3,1.5,6.78973,2.49328,0,0,0,0,0,0,0,0,0
1,2,469.05,-47.5,0,468.07,-45.55,0,CP,2.2,22,1.3,1.3,1.3,8.99979,2.94482,0,0,0,0,0,0,0,0,0
1,2,468.07,-45.55,0,466.76,-43.91,0,CP,2.1,24.1,1.3,1.3,1.3,8.59052,2.8109,0,0,0,0,0,0,0,0,0
1,2,466.76,-43.91,0,465.78,-41.63,0,CP,2.5,26.6,1.3,1.3,1.3,10.2173,3.34321,0,0,0,0,0,0,0,0,0
1,2,465.78,-41.63,0,464.8,-38.69,0,CP,3.1,29.7,1.3,1.3,1.3,12.7277,4.16462,0,0,0,0,0,0,0,0,0
1,2,464.8,-38.69,0,464.8,-37.39,0,CP,1.3,31,1.3,1.3,1.3,5.36642,1.75595,0,0,0,0,0,0,0,0,0
1,2,464.8,-37.39,0,462.85,-35.1,0,CP,3,34,1.3,1.3,1.3,12.369,4.04726,0,0,0,0,0,0,0,0,0
1,2,462.85,-35.1,0,461.87,-32.82,0,CP,2.5,36.5,1.3,1.3,1.3,10.2174,3.34325,0,0,0,0,0,0,0,0,0
1,2,461.87,-32.82,0,461.21,-31.19,0,CP,1.8,38.3,1.3,1.3,1.3,7.22477,2.36401,0,0,0,0,0,0,0,0,0
1,2,461.21,-31.19,0,460.24,-28.25,0,CP,3.1,41.4,1.3,1.3,1.3,12.7276,4.16461,0,0,0,0,0,0,0,0,0
1,2,460.24,-28.25,0,459.58,-26.95,0,CP,1.5,42.8,1.3,1.3,1.3,5.99987,1.96322,0,0,0,0,0,0,0,0,0
1,2,459.58,-26.95,0,457.95,-24.66,0,CP,2.8,45.6,1.3,1.3,1.3,11.5409,3.7763,0,0,0,0,0,0,0,0,0
1,2,457.95,-24.66,0,456.65,-22.38,0,BP,2.6,48.3,1.3,1.3,1.3,10.8164,3.53923,0,0,0,0,0,0,0,0,0
1,3,456.65,-22.38,0,455.02,-23.03,0,CP,1.8,50,1.3,1,1.1,6.35149,1.82368,0,0,0,0,0,0,0,0,0
1,3,455.02,-23.03,0,454.04,-22.38,0,CP,1.2,51.2,1,1.3,1.1,4.27486,1.22102,0,0,0,0,0,0,0,0,0
1,3,454.04,-22.38,0,452.08,-20.75,0,CP,2.5,53.7,1.3,1.3,1.3,10.4783,3.42859,0,0,0,0,0,0,0,0,0
1,3,452.08,-20.75,0,449.79,-19.12,0,CP,2.8,56.6,1.3,1.3,1.3,11.541,3.77633,0,0,0,0,0,0,0,0,0
1,3,449.79,-19.12,0,447.51,-18.46,0,CP,2.4,58.9,1.3,1.3,1.3,9.76698,3.19585,0,0,0,0,0,0,0,0,0
1,3,447.51,-18.46,0,445.23,-17.49,0,CP,2.5,61.4,1.3,1.3,1.3,10.2174,3.34324,0,0,0,0,0,0,0,0,0
1,3,445.23,-17.49,0,444.25,-16.18,0,CP,1.6,63,1.3,1.3,1.3,6.70807,2.19494,0,0,0,0,0,0,0,0,0
1,3,444.25,-16.18,0,442.62,-14.55,0,CP,2.3,65.4,1.3,1.3,1.3,9.48656,3.1041,0,0,0,0,0,0,0,0,0
1,3,442.62,-14.55,0,440.99,-12.26,0,CP,2.8,68.2,1.3,1.3,1.3,11.541,3.77632,0,0,0,0,0,0,0,0,0
1,3,440.99,-12.26,0,438.7,-9.33,0,CP,3.7,71.9,1.3,1.3,1.3,15.2967,5.00524,0,0,0,0,0,0,0,0,0
1,3,438.7,-9.33,0,436.42,-7.37,0,CP,3,74.9,1.3,1.3,1.3,12.369,4.04725,0,0,0,0,0,0,0,0,0
1,3,436.42,-7.37,0,435.11,-6.72,0,CP,1.5,76.3,1.3,1.3,1.3,5.99984,1.96321,0,0,0,0,0,0,0,0,0
1,3,435.11,-6.72,0,433.81,-5.41,0,CP,1.8,78.2,1.3,1.3,1.3,7.58929,2.48329,0,0,0,0,0,0,0,0,0
1,3,433.81,-5.41,0,432.18,-3.46,0,CP,2.5,80.7,1.3,1.3,1.3,10.4783,3.42861,0,0,0,0,0,0,0,0,0
1,3,432.18,-3.46,0,430.22,-1.82,0,CP,2.5,83.3,1.3,1.3,1.3,10.4784,3.42863,0,0,0,0,0,0,0,0,0
1,3,430.22,-1.82,0,426.63,-0.19,0,CP,3.9,87.2,1.3,1.3,1.3,16.2106,5.30428,0,0,0,0,0,0,0,0,0
1,3,426.63,-0.19,0,424.67,2.09,0,CP,3,90.2,1.3,1.3,1.3,12.3691,4.04729,0,0,0,0,0,0,0,0,0
1,3,424.67,2.09,0,421.73,6.99,0,CP,5.7,95.9,1.3,1.3,1.3,23.4686,7.67915,0,0,0,0,0,0,0,0,0
1,3,421.73,6.99,0,420.1,7.96,0,CP,1.9,97.8,1.3,1.3,1.3,7.82278,2.55969,0,0,0,0,0,0,0,0,0
1,3,420.1,7.96,0,416.51,8.94,0,CP,3.7,101.6,1.3,1.3,1.3,15.2967,5.00524,0,0,0,0,0,0,0,0,0
1,3,416.51,8.94,0,414.23,9.92,0,CP,2.5,104.1,1.3,1.3,1.3,10.2173,3.3432,0,0,0,0,0,0,0,0,0
1,3,414.23,9.92,0,411.95,10.57,0,CP,2.4,106.4,1.3,1.3,1.3,9.76722,3.19593,0,0,0,0,0,0,0,0,0
1,3,411.95,10.57,0,409.99,11.23,0,CP,2.1,108.5,1.3,1.3,1.3,8.48494,2.77636,0,0,0,0,0,0,0,0,0
1,3,409.99,11.23,0,407.38,13.18,0,CP,3.3,111.8,1.3,1.3,1.3,13.4162,4.3899,0,0,0,0,0,0,0,0,0
1,3,407.38,13.18,0,402.16,14.82,0,CP,5.5,117.2,1.3,1.3,1.3,22.4895,7.3588,0,0,0,0,0,0,0,0,0
1,3,402.16,14.82,0,402.16,18.08,0,CP,3.3,120.5,1.3,1.3,1.3,13.4161,4.38987,0,0,0,0,0,0,0,0,0
1,3,402.16,18.08,0,402.16,20.04,0,CP,2,122.4,1.3,1.3,1.3,8.04966,2.63393,0,0,0,0,0,0,0,0,0
1,3,402.16,20.04,0,402.16,21.34,0,CP,1.3,123.7,1.3,1.3,1.3,5.36645,1.75596,0,0,0,0,0,0,0,0,0
1,3,402.16,21.34,0,402.48,23.63,0,CP,2.3,126.1,1.3,1.3,1.3,9.48662,3.10412,0,0,0,0,0,0,0,0,0
1,3,402.48,23.63,0,402.81,25.26,0,CP,1.7,127.7,1.3,1.3,1.3,6.84089,2.2384,0,0,0,0,0,0,0,0,0
1,3,402.81,25.26,0,403.79,22.32,0,CP,3.1,130.8,1.3,1.3,1.3,12.7276,4.16459,0,0,0,0,0,0,0,0,0
1,3,403.79,22.32,0,403.79,24.93,0,CP,2.6,133.4,1.3,1.3,1.3,10.7329,3.5119,0,0,0,0,0,0,0,0,0
1,3,403.79,24.93,0,403.46,26.24,0,CP,1.3,134.8,1.3,1.3,1.3,5.53163,1.81,0,0,0,0,0,0,0,0,0
1,3,403.46,26.24,0,401.83,28.85,0,CP,3.1,137.8,1.3,1.3,1.3,12.6567,4.14139,0,0,0,0,0,0,0,0,0
