DS_X,DS_Y,SBAC_X,SBAC_Y,DS_tree,DS_order,DS_length,DS_distance,DS_soma,DS_end,DS_theta,DS_rho,DS_deg,SBAC_tree,SBAC_order,SBAC_length,SBAC_distance,SBAC_soma,SBAC_end,SBAC_theta,SBAC_rho,SBAC_deg,DS_StartX,DS_StartY,SBAC_StartX,SBAC_StartY
361.428571428571,-184.285714285714,361.517857142857,-184.464285714286,1,9,1.6,388.219027970608,389.280972029392,53.5310182120882,-1.6614482005812,349.197012024082,264.806030227092,7,3,4.4,132.475658615749,130.524341384251,34.9030021131061,2.40370628083418,141.803070130604,137.722225080886,362.37,-184.01,362.57,-183.66
361.964285714286,-185.178571428571,361.964285714286,-185,1,9,1.6,387.963002317987,389.536997682013,54.4508133956822,-1.66014834740237,348.259618209043,264.880506328226,7,3,4.4,132.329459352511,130.670540647489,35.412882834576,2.39879424809364,141.834860946237,137.440786336023,362.37,-184.01,362.57,-183.66
369.910714285714,-229.910714285714,369.910714285714,-230.178571428571,1,7,1.4,335.525476608607,335.474523391394,32.2223378682677,-1.64720128780399,303.022234316362,265.622318200317,7,3,4.9,159.77525273333,156.02474726667,11.4888790931031,2.17074016414341,170.964891679328,124.374249824953,370.18,-229.52,370.04,-229.67
371.964285714286,-179.642857142857,371.607142857143,-179.464285714286,1,9,2.4,389.099766802692,391.200233197308,107.159181298863,-1.63053206671681,353.035734240734,266.577394216383,7,3,3.1,122.444552517766,121.255447482234,44.7500479466126,2.38013460157633,131.010854230941,136.371667343375,372.33,-180.24,370.66,-179.93
369.642857142857,-231.428571428571,369.464285714286,-231.25,1,7,0.8,332.839926311397,333.960073688603,33.2282028139942,-1.64847126241572,301.529494296657,265.549554014977,7,3,4.9,158.61837966866,157.18162033134,10.4234175304395,2.16936622474769,172.101428091483,124.295528896271,369.91,-231.67,370.04,-229.67
371.785714285714,-178.035714285714,372.142857142857,-178.214285714286,1,9,1.9,391.114526181767,392.985473818233,105.074920594375,-1.63076414335775,354.650680823615,266.564097204334,7,3,4,118.685845243097,117.914154756903,46.8677170935385,2.38425876955247,129.761719343997,136.607964762411,372.33,-177.82,373.14,-176.82
396.428571428571,-240,396.160714285714,-239.910714285714,2,6,1,304.465226241489,303.734773758511,9.08693930476735,-1.5591961365312,292.068550407074,270.664641943659,6,5,2,160.306665044885,161.393334955115,24.4619014424731,2.00678994103276,166.408332044741,114.980593990484,396.28,-239.7,394.91,-240.24
400.625,-233.392857142857,400.446428571429,-233.035714285714,2,6,0.8,301.463392525578,301.636607474422,51.9256065303246,-1.54540667291052,298.752330328363,271.454720010873,6,5,4.2,153.157063359194,151.542936640806,34.5462651469191,2.00059300903773,158.369617667251,114.62553594124,400.96,-233.36,399.88,-232.16
402.410714285714,-198.125,402.5,-198.392857142857,2,7,1.5,338.274700279918,338.725299720082,16.1902301233675,-1.54274305041145,334.055339480744,271.607334338286,7,4,2.8,120.107368516448,120.292631483552,40.2188565879182,2.09999619075831,126.647001033201,120.320918724001,402.89,-198.34,401.12,-198.58
398.571428571429,-211.607142857143,398.571428571429,-211.25,2,6,1.9,324.755000342419,323.744999657581,31.1232605509875,-1.5535380180149,320.489484340725,270.988828254627,7,4,2.6,134.744571035953,135.355428964047,31.2047445694006,2.0778164971615,139.763119007403,119.05011589001,399.03,-211.02,397.39,-210.4
400.803571428571,-232.142857142857,400.892857142857,-232.5,2,6,0.8,302.282448219024,301.717551780976,50.7329093233739,-1.54491741609509,300.006496739706,271.482752361495,6,5,4.2,153.131599517111,151.568400482889,35.2435805566306,1.99943508053674,157.696711525076,114.559191525155,400.96,-232.53,399.88,-232.16
398.839285714286,-210.535714285714,398.75,-210.714285714286,2,6,1.9,324.979515041681,323.52048495832,30.0204149876576,-1.5527626637795,321.56547254426,271.033252779944,7,4,2.6,134.804157777468,135.295842222532,31.571782839572,2.07856374428954,139.20812922979,119.0929299967,399.03,-211.02,397.39,-210.4
402.5,-199.285714285714,402.321428571429,-199.107142857143,2,7,1.4,336.723702882753,337.276297117247,17.2229738560707,-1.54237714765122,332.897608611474,271.628299022159,7,4,2.8,120.188012879605,120.211987120395,39.8517247734223,2.09837506072908,127.353898375764,120.228034815284,402.89,-199.71,401.12,-198.58
403.839285714286,-203.482142857143,404.107142857143,-203.482142857143,2,7,0.5,332.879815442867,333.720184557133,28.6583014481982,-1.53794211014759,328.744163946532,271.882407953099,7,4,1.9,123.443127743774,125.156872256226,41.4789622852936,2.06962366774326,130.288865870378,118.580701342074,403.31,-202.61,404.86,-203.56
404.821428571429,-203.392857142857,404.642857142857,-203.482142857143,2,7,1.3,335.557692096264,335.842307903737,27.3340459344836,-1.53496619268818,328.867119443728,272.052915463703,7,4,1.9,123.969321099573,124.630678900427,41.3499849554626,2.06600586433234,130.033433213664,118.373416475521,405.24,-202.33,404.86,-203.56
415.535714285714,-175.267857142857,415.357142857143,-175.178571428571,2,8,2.3,372.820855877711,371.479144122289,16.342351981011,-1.50782947217338,357.489499959839,273.607735019027,7,3,4,90.0483066087769,87.8516933912231,71.3100813850282,2.10620017698312,100.119258071773,120.67638095084,416.13,-174.62,415.43,-174.33
411.25,-216.517857142857,411.428571428571,-216.696428571429,2,8,1.8,354.615448345248,354.884551654752,9.33694033711403,-1.51314992811106,316.056041123922,273.302895348713,6,4,3.1,132.48243195723,132.21756804277,54.5658729398302,1.9777456492489,138.97654842974,113.316478652323,411.72,-216.4,411.07,-217.86
411.25,-218.571428571429,411.071428571429,-218.482142857143,2,8,1.5,355.994700276638,356.505299723362,7.03176495239928,-1.51277313441278,314.005903159892,273.324484037371,6,4,3.1,133.077855502708,131.622144497292,52.9299333622349,1.97505431620646,140.758298400077,113.162276627727,411.72,-218.19,411.07,-217.86
414.196428571429,-164.910714285714,414.464285714286,-164.732142857143,2,8,1.2,382.243570712855,380.956429287145,4.42122668326484,-1.51323635769619,367.747218001286,273.297943298259,7,3,3.1,76.2728482064713,76.5271517935287,82.4814539590728,2.17267645265029,91.792946509209,124.485190984317,414.06,-165.24,414.8,-163.14
415,-174.285714285714,415.178571428571,-174.285714285714,2,8,2.3,372.521591353233,371.778408646767,15.3440195187075,-1.50949351733269,358.436482753957,273.512392254479,7,3,4,90.6447010555831,87.255298944417,71.8679090485899,2.1123253315101,99.444315503397,121.027326454101,416.13,-174.62,415.43,-174.33
414.642857142857,-163.75,414.464285714286,-163.839285714286,2,8,1.2,383.377362508786,382.222637491214,3.20869004682678,-1.5122092968183,368.931886819939,273.356789551865,7,3,3.1,77.124303801842,75.675696198158,82.9410971759631,2.17822818968546,91.0583921556801,124.803282085398,414.48,-164.14,414.8,-163.14
429.285714285714,-259.821428571429,429.285714285714,-259.464285714286,2,3,2.5,267.647792263739,265.252207736261,146.665731247578,-1.43843204087809,274.629759021622,277.583914941296,6,5,2.6,180.720499382136,182.379500617864,5.59661373512681,1.7854667512165,174.397556920805,102.29970930564,429.43,-260.25,430.97,-258.89
429.464285714286,-258.75,429.375,-259.107142857143,2,3,2.5,269.492588051135,270.907411948865,145.498222580753,-1.4383029067121,275.715385230637,277.591313783998,6,5,2.6,180.89028697576,182.20971302424,5.77365791978853,1.78540264833621,174.029591916744,102.296036481145,429.98,-257.77,430.97,-258.89
437.5,-202.321428571429,437.678571428571,-202.142857142857,2,4,1.3,326.304791238818,325.595208761182,86.0994290477702,-1.43676786253644,332.71135193057,277.679265336629,6,3,2,100.101569493378,102.398430506622,81.7199154771636,1.81984919029766,116.672910637063,104.269677954356,437.85,-201.84,439.67,-202.31
447.142857142857,-227.321428571429,447.321428571429,-227.321428571429,2,4,1.8,305.834345496246,304.565654503754,95.8114718124513,-1.3950841965962,309.492950154826,280.067563469638,6,3,2.2,129.516659291769,130.983340708231,53.2791658326976,1.70819042862337,139.566933796067,97.8721021647623,446.77,-226.77,447.76,-229.05
438.75,-196.785714285714,438.482142857143,-196.517857142857,2,4,2,331.122061784518,330.277938215482,81.0343549816922,-1.43529292858849,338.364822326618,277.763772826907,6,2,5,94.0381233914733,92.7618766085267,93.5939612341745,1.82532281395173,111.025056579254,104.583293488377,438.83,-197.66,439.05,-194.85
438.214285714286,-197.678571428571,437.857142857143,-197.678571428571,2,4,2,331.38400569841,330.015994301591,82.0627708040891,-1.43650863308272,337.408029767469,277.694118090253,6,3,2.2,96.0071423451102,97.9928576548899,89.5354316937773,1.82810637917254,112.306177775962,104.742780027529,438.83,-197.66,436.57,-199.2
437.678571428571,-201.071428571429,437.5,-201.25,2,4,1.3,327.626622964804,326.873377035196,84.7989889450716,-1.4367381132354,333.974003669683,277.680969846023,6,3,4.5,100.312581430087,100.387418569913,89.7154742838288,1.82324264537697,115.852283864589,104.464108608368,437.99,-200.59,435.32,-201.07
439.017857142857,-195,439.196428571429,-195.267857142857,2,4,1.6,332.784045877083,332.115954122918,78.7964080817237,-1.4352218722467,340.170353220945,277.7678440554,6,2,5,95.3572292711037,91.4427707288963,95.0286228957061,1.82188836143316,109.636126912047,104.386513854125,439.11,-195.71,439.05,-194.85
444.107142857143,-183.928571428571,444.285714285714,-183.928571428571,2,4,2.6,347.44537589986,346.754624100141,65.8165235795643,-1.42514292425317,351.845925135314,278.345325237361,6,2,6.1,83.5625138309258,79.8374861690743,109.406687678901,1.80020207389932,97.4108336916629,103.143981105129,443.01,-183.32,444.65,-184.9
445.178571428571,-183.392857142857,445,-183.482142857143,2,4,0.7,348.428839322653,349.071160677347,62.8034815437742,-1.42235642703381,352.53284153749,278.504979767655,6,2,6.1,83.1395826358362,80.2604173641638,110.070727764063,1.79406608286007,96.8154955839395,102.79241471545,445.51,-182.48,444.65,-184.9
457.678571428571,-180.089285714286,457.946428571429,-180.267857142857,2,4,1.3,360.983210737944,360.816789262056,50.4782868593377,-1.38916857410763,357.845829368632,280.406503671426,6,2,4.7,79.6673906476549,77.1326093523451,130.768085106587,1.6636271564653,91.5924897940119,95.318814748812,456.93,-179.56,457.71,-181.17
448.214285714286,-226.339285714286,447.946428571429,-226.339285714286,2,4,1.9,307.853945039022,306.246054960978,94.4270500069173,-1.39224096891449,310.648521632969,280.230468415995,6,3,2.2,128.582882492232,131.917117507768,54.3911122009873,1.70469178488775,138.509292699309,97.6716446446912,448.3,-225.8,447.76,-229.05
455.535714285714,-221.696428571429,455.714285714286,-221.696428571429,2,4,1.4,316.123559600563,315.376440399437,85.1296749488355,-1.37208553941259,316.582210503768,281.385289460728,6,3,4.4,121.943138186995,125.156861813005,87.4340442181251,1.65146841442364,133.05943220754,94.6221701456364,455.54,-220.92,456.46,-222.83
453.214285714286,-263.392857142857,453.392857142857,-263.214285714286,1,9,2,364.115565012356,364.784434987644,4.53324426982719,-1.35045256179616,275.312444341139,282.62476777645,6,4,2.6,166.458887151106,167.241112848894,46.2873158203744,1.64555984398471,174.632383522024,94.2836339965301,452.58,-262.64,454.6,-262.63
458.035714285714,-285.178571428571,458.214285714286,-285.178571428571,1,7,1.6,306.998770631317,308.101229368683,103.861750039584,-1.31336183668779,255.282831878982,284.74990978424,6,5,2.5,196.936829527089,199.263170472911,15.632041812215,1.61270025039097,196.281139007188,92.4009179670935,458.5,-284.18,458.95,-285.63
451.964285714286,-244.821428571429,451.785714285714,-244.642857142857,1,10,1.1,370.850890345278,371.949109654722,1.0878250159406,-1.36845721359687,293.209176615581,281.593177216667,6,3,3.1,142.667093095401,142.732906904599,62.1412970005999,1.66469448868851,156.261483298457,95.3799683805401,452.31,-244.87,452.11,-243.35
461.071428571429,-255.625,461.25,-255.535714285714,1,10,1.3,355.766327756756,357.133672243244,16.6860070999008,-1.32948167991798,284.672384271428,283.826310800737,6,3,1.9,155.205307030203,157.694692969797,48.340879123082,1.60194474029057,166.546765518682,91.7846726318303,461.46,-254.56,461.44,-256.41
454.375,-263.125,454.196428571429,-263.303571428571,1,9,2,362.171481648195,362.828518351805,5.85936817225645,-1.34655845677859,275.829608300325,282.847883558938,6,4,2.6,167.014781325141,166.685218674859,45.4840690147138,1.64093380753656,174.663266856171,94.0185816321774,454.46,-262.1,454.6,-262.63
460.535714285714,-260.892857142857,460.714285714286,-260.892857142857,1,9,1.3,355.144371133435,356.255628866565,12.2680895951073,-1.32683801942781,279.430116970884,283.97778138929,6,3,1.9,160.225946576144,162.674053423856,43.0663300009263,1.60408886920528,171.918388903564,91.9075221693751,460.38,-259.95,461.44,-261.38
455.535714285714,-152.142857142857,455.178571428571,-152.053571428571,2,4,1.5,396.11479688584,396.08520311416,16.5786651555885,-1.4077550251371,385.012000891992,279.341578471311,6,2,4.7,48.1884501575665,43.8115498424335,142.223400164558,1.74767664117758,63.9821215396601,100.134495493075,455.82,-152.12,455.22,-151.95
457.678571428571,-147.857142857143,457.857142857143,-147.678571428571,2,4,1.1,400.208067662298,399.091932337702,11.2917224828158,-1.40411329769018,389.59129063648,279.550234084156,6,2,3.3,41.4853417071544,41.7146582928457,165.53189372383,1.71615282743875,59.233492168596,98.3283140116831,457.49,-148.08,459.57,-147.6
463.214285714286,-166.875,463.392857142857,-166.785714285714,2,4,1.6,377.4713294009,377.1286705991,34.2771274704265,-1.38094552277643,371.85524548219,280.877649807423,6,2,3.3,62.9661613788144,60.9338386211856,144.172862131318,1.60994421426987,77.7755683828318,92.2430087291693,464.04,-167.3,463.92,-166.87
456.428571428571,-221.160714285714,456.25,-221.160714285714,2,4,1.4,315.979400982501,315.520599017499,84.1984286123092,-1.36966016106582,317.284571197758,281.52425340372,6,3,3.1,117.544061246803,120.855938753197,86.6824431033228,1.64776377249191,132.483198981487,94.4099097983411,455.54,-220.92,456.46,-219.72
458.125,-146.875,457.946428571429,-147.053571428571,2,4,1.6,401.688792673608,400.211207326392,10.6619231355356,-1.40340344707606,390.633987896177,279.59090552843,6,2,3.3,41.4869418085346,41.7130581914654,165.944298787168,1.71619009741531,58.6021506468447,98.330449424043,457.91,-147.1,459.57,-147.6
