Type,DS_X,DS_Y,SBAC_X,SBAC_Y,DS_order,DS_length,DS_distance,DS_soma,DS_end,DS_theta,DS_rho,SBAC_order,SBAC_length,SBAC_distance,SBAC_soma,SBAC_end,SBAC_theta,SBAC_rho,DS_StartX,DS_StartY,SBAC_StartX,SBAC_StartY
1,1582,1529,1585,1534,9,3.8,391.805511808005,391.094488191995,54.6743214050984,-1.79032501133348,1749.8489581218,3,4.4,132.424099552723,130.575900447277,35.0065234537306,2.65666295834039,972.82442151787,361.56,-182.66,362.57,-183.66
1,1590,1539,1586,1534,9,1.6,387.668757340709,389.831242659291,54.9254475128584,-1.78708613779586,1738.3559169472,3,4.4,132.542577141572,130.457422858428,35.1841294163952,2.65618335439059,971.939825577057,362.37,-184.01,362.57,-183.66
1,1643,1510,1639,1506,9,2.4,389.415982568423,390.884017431577,107.863365135194,-1.75406189510043,1756.26364235181,3,3.1,122.843836132961,120.856163867039,44.3545469032866,2.65622427713397,911.998199676859,372.33,-180.24,370.66,-179.93
1,1631,1783,1634,1789,7,1.4,335.453168682503,335.546831317497,31.5284231367312,-1.79534717080781,1491.29300255418,3,4.9,159.70064660692,156.09935339308,11.8034997825111,2.42397023170671,1077.37742984677,370.18,-229.52,370.04,-229.67
1,1630,1800,1626.5,1795.5,7,0.8,332.656898551214,334.143101448786,33.9103769515304,-1.79857457958807,1474.95015100538,3,4.9,158.342631660538,157.457368339462,10.0335457753931,2.4240024686354,1087.30208513661,369.91,-231.67,370.04,-229.67
1,1642,1492,1647,1496,9,1.9,390.831225352721,393.268774647279,104.229386846541,-1.75276713553729,1774.14593952945,3,4,119.264842903976,117.335157096024,47.4933315307684,2.66190343731223,900.27135039736,372.33,-177.82,373.14,-176.82
1,1802,1812,1797,1806,6,1.1,300.496046244428,299.903953755572,53.2047097688847,-1.68335754408575,1433.9272880529,5,4.2,153.06671418667,151.63328581333,33.8406262781317,2.30035372377712,973.183184108196,400.83,-234.46,399.88,-232.16
1,1782,1843,1779,1841,6,1,304.279911702944,303.920088297056,9.44915141717351,-1.69997474711348,1405.56399546589,5,2.6,158.397471201923,158.702528798077,25.3483322166322,2.29055406544049,1011.32089159633,396.28,-239.7,396.77,-238.38
1,1813.5,1606,1817,1612,7,1.7,339.668065630041,340.731934369959,15.6885800794443,-1.66224956529214,1637.69675193709,4,2.8,117.341243065091,117.458756934909,40.8157334610738,2.43977079618778,823.218859813519,402.89,-196.82,403.61,-197.34
1,1792,1689,1791,1682,6,1.2,323.137332490346,323.462667509654,31.0798565438598,-1.68086659388763,1557.27697179452,4,2.6,134.993128517401,135.106871482599,31.0997827441975,2.39851063716137,889.02354156736,399.03,-212.26,397.39,-210.4
